127.0.0.1 - - [11/Apr/2019:18:24:02 +0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:24:03 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:24:07 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:28:08 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:28:09 +0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:08 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:09 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:09 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:09 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:09 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:10 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:10 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:10 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:10 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:10 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:11 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:11 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:29:11 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:30:46 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:31:27 +0300] "GET /projects/SchoolProjects/htmlAndCss/register.html HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:31:41 +0300] "GET /file:///Users/shachardavid/projects/SchoolProjects/htmlAndCss/register.html HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:31:50 +0300] "GET /Users/shachardavid/projects/SchoolProjects/htmlAndCss/register.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:31:50 +0300] "GET /Users/shachardavid/projects/SchoolProjects/htmlAndCss/register.html HTTP/1.1" 404 1103
